Trace_Name,Benchmark,Model,Size,Freq,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,LLC_Pref_Late,LLC_Pref_Hit,LLC_Pref_OTHERS,LLC_Pref_FILL,LLC_Pref_DROPPED,LLC_Pref_ACCESS,LLC_Pref_MISS,Avg_Congested_Cycle
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_600.txt,605.mcf-s1.trace.xz,pythia,2048,600,0.145063,38467912,265181396,7191163,5513364,1677799,2530786,1529587,1001199,2201670,976929,1224741,348548,348548,43896,235482,86,61501,7583,286101,0,347602,286101,42
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_4096_9600.txt,605.mcf-s1.trace.xz,no,4096,9600,0.153952,38467912,249869412,7069410,5391272,1678138,2531123,1529819,1001304,1854172,877184,976988,0,0,0,0,0,0,0,0,0,0,0,1
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_4800.txt,605.mcf-s1.trace.xz,pathfinder,1024,4800,0.155101,38467912,248019227,7110183,5432111,1678072,2531058,1529753,1001305,2685386,1694606,990780,921836,921836,25539,13255,3204,792075,87763,39138,0,831213,39138,4
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_150.txt,bfs-10.trace.gz,pathfinder,2048,150,0.202004,61219343,303059870,13889387,11054650,2834737,2984632,1977851,1006781,1880839,658479,1222360,968828,968828,452659,230822,217671,38669,29007,690170,0,728839,690170,176
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_300.txt,bfs-10.trace.gz,pathfinder,256,300,0.310789,61219343,196980263,13905724,11070974,2834750,2984645,1977865,1006780,2003140,595413,1407727,968827,968827,573934,257059,97369,19844,20621,831297,0,851141,831297,79
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_600.txt,605.mcf-s1.trace.xz,pathfinder,256,600,0.141183,38467912,272468130,7193962,5516185,1677777,2530764,1529606,1001158,2678340,36478,2641862,921397,921397,8646,806401,6332,7945,92073,816367,0,824312,816367,43
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_600.txt,473.astar-s1.trace.gz,pythia,4096,600,0.452878,98033976,216468950,23889913,21025741,2864172,3801229,2735794,1065435,1740220,1403603,336617,295022,295022,53467,95559,97,130677,15222,164083,0,294760,164083,30
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_4800.txt,473.astar-s1.trace.gz,pythia,4096,4800,0.452674,98033976,216566522,23889731,21025558,2864173,3801231,2735794,1065437,1743380,1396066,347314,298080,298080,48540,104812,32,128668,16028,169251,0,297919,169251,4
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_4800.txt,cc-5.trace.gz,no,256,4800,0.191701,20700644,107983795,4817052,3357112,1459940,1579249,578979,1000270,1118917,14075,1104842,0,0,0,0,0,0,0,0,0,0,0,4
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_2400.txt,482.sphinx3-s0.trace.gz,pathfinder,512,2400,0.893835,84756213,94823121,10745931,9475706,1270225,1390812,293174,1097638,1856766,591939,1264827,939204,939204,515422,86284,211859,46698,78941,603727,0,650425,603727,9
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_9600.txt,bfs-10.trace.gz,pathfinder,512,9600,0.362132,61219343,169052586,13914051,11079319,2834732,2984627,1977847,1006780,2040385,686695,1353690,968827,968827,613246,249349,60496,24652,21084,863734,0,888386,863734,2
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_1200.txt,473.astar-s1.trace.gz,pythia,512,1200,0.361963,98033976,270839808,23888902,21024734,2864168,3801225,2735919,1065306,1739782,505225,1234557,295559,295559,25760,229592,228,36477,3502,257974,0,294451,257974,11
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_1024_4800.txt,623.xalancbmk-s1.trace.xz,no,1024,4800,0.559597,52596276,93989560,7275967,6275436,1000531,1000973,671,1000302,1000729,485,1000244,0,0,0,0,0,0,0,0,0,0,0,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_150.txt,450.soplex-s0.trace.gz,pathfinder,512,150,0.065719,29478984,448561389,6956975,5230751,1726224,2555030,1252533,1302497,2491864,463559,2028305,914844,914844,191409,255928,181420,150456,135631,447779,0,598235,447779,197
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_1200.txt,cc-5.trace.gz,pathfinder,2048,1200,0.257044,20700645,80533552,4789094,3329127,1459967,1579276,579001,1000275,1999494,1068869,930625,889585,889585,181818,313033,1302,375628,17804,504944,0,880572,504944,17
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_4096_2400.txt,471.omnetpp-s1.trace.gz,no,4096,2400,0.374309,54612142,145901074,19043076,17699587,1343489,1915094,752101,1162993,1654958,1083892,571066,0,0,0,0,0,0,0,0,0,0,0,11
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_9600.txt,473.astar-s1.trace.gz,pythia,512,9600,0.362074,98033976,270756826,23888601,21024431,2864170,3801227,2735919,1065308,1756986,499767,1257219,313038,313038,19665,251693,250,37536,3894,274117,0,311653,274117,1
