================================================= Global Summary Table =================================================
Benchmark                  Model           Freq       IPC  Accuracy  Coverage  BW_Share |   Issued  Useful Useless    Late     Hit  Others
------------------------------------------------------------------------------------------------------------------------------------------
450.soplex-s0.trace.gz     no256           150     0.0720     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder256   150     0.0633    19.89%    18.16%    22.37% |   913735  181703  298989  182882  113383  136778
450.soplex-s0.trace.gz     pythia256       150     0.0653    29.59%    20.68%    20.98% |   699219  206918  228883  147373   61259   54786
450.soplex-s0.trace.gz     no512           150     0.0739     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder512   150     0.0657    20.92%    19.13%    22.08% |   914844  191409  255928  181420  150456  135631
450.soplex-s0.trace.gz     pythia512       150     0.0677    27.52%    19.26%    19.83% |   700452  192736  194833  141058   84814   87011
450.soplex-s0.trace.gz     no1024          150     0.0814     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder1024  150     0.0725    21.39%    19.54%    28.22% |   914346  195548  194561  176459  213920  133858
450.soplex-s0.trace.gz     pythia1024      150     0.0742    30.97%    21.38%    27.88% |   690792  213906  157868  123417  125504   70097
450.soplex-s0.trace.gz     no2048          150     0.0984     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder2048  150     0.0882    18.82%    17.21%    28.41% |   915038  172212  138387  153165  320191  131083
450.soplex-s0.trace.gz     pythia2048      150     0.0895    25.52%    17.61%    27.47% |   690389  176173  117602  109485  202754   84375
450.soplex-s0.trace.gz     no4096          150     0.1239     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder4096  150     0.1138    12.93%    11.83%    26.31% |   915760  118369   91650  103461  482402  119878
450.soplex-s0.trace.gz     pythia4096      150     0.1148    17.21%    11.67%    25.00% |   678704  116804   81026   71597  332671   76606
450.soplex-s0.trace.gz     no256           300     0.1307     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder256   300     0.1205    21.23%    19.43%    23.00% |   915742  194387  300231  170934  113737  136453
450.soplex-s0.trace.gz     pythia256       300     0.1240    30.29%    20.78%    20.60% |   686551  207952  217632  118947   59856   82164
450.soplex-s0.trace.gz     no512           300     0.1338     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder512   300     0.1250    22.26%    20.38%    22.73% |   916414  203951  256763  169559  150819  135322
450.soplex-s0.trace.gz     pythia512       300     0.1282    28.29%    19.22%    19.46% |   679704  192288  186337  134252   82018   84809
450.soplex-s0.trace.gz     no1024          300     0.1464     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder1024  300     0.1372    22.77%    20.87%    29.23% |   916993  208780  195955  164299  214516  133443
450.soplex-s0.trace.gz     pythia1024      300     0.1400    31.53%    21.57%    27.75% |   684371  215791  152235  113390  123250   79705
450.soplex-s0.trace.gz     no2048          300     0.1725     0.00%     0.00%     0.00% |        0       0       0       0       0       0
450.soplex-s0.trace.gz     pathfinder2048  300     0.1637    19.96%    18.29%    29.43% |   916921  183018  139238  142693  320801  131171
450.soplex-s0.trace.gz     pythia2048      300     0.1654    30.30%    20.23%    29.73% |   668039  202447  115232   84321  196213   69826
450.soplex-s0.trace.gz     no4096          300     0.2103     0.00%     0.00%     0.00% |        0       0       0       0       0       0
