Trace_Name,IPC,Instructions,Cycles,L1D_Access,L1D_Hit,L1D_Miss,L2C_Access,L2C_Hit,L2C_Miss,LLC_Access,LLC_Hit,LLC_Miss,LLC_Pref_Requested,LLC_Pref_Issued,LLC_Pref_Useful,LLC_Pref_Useless,Avg_Congested_Cycle
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_2048_600.txt,0.142243,38467912,270437136,7194976,5517199,1677777,2530764,1529568,1001196,1876525,882945,993580,22634,22634,5244,11701,44
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_4096_9600.txt,0.153894,38467912,249964403,7069227,5391089,1678138,2531123,1529819,1001304,1854172,875369,978803,0,0,0,0,1
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_1024_4800.txt,0.153609,38467912,250427579,7108862,5430795,1678067,2531053,1529748,1001305,2500629,1504491,996138,721915,721915,8609,9291,4
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-from_file-lru-1core_8192_9600.txt,0.154209,38467912,249453762,7070005,5391868,1678137,2531122,1529818,1001304,1871660,887337,984323,17536,17536,4263,7081,1
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_8192_600.txt,0.452824,98033976,216494641,23889385,21025211,2864174,3801232,2735795,1065437,1581407,1341088,240319,136004,136004,27472,22393,28
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_150.txt,0.207365,61219343,295224448,13888835,11054101,2834734,2984629,1977849,1006780,1744459,598496,1145963,794782,789735,417953,157346,171
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_300.txt,0.306347,61219343,199836569,13903642,11068908,2834734,2984629,1977849,1006780,1845815,526926,1318889,794782,789735,519719,168438,77
605.mcf-s1.trace.xz-hashed_perceptron-no-no-no-pathfinder-lru-1core_256_600.txt,0.14118,38467912,272475185,7193374,5515598,1677776,2530763,1529569,1001194,2496508,26095,2470413,721775,721773,4675,632563,43
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_600.txt,0.443985,98033976,220804838,23889351,21025180,2864171,3801229,2735796,1065433,1584733,1310569,274164,139339,139339,24049,42351,29
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_4096_4800.txt,0.444676,98033976,220461702,23889368,21025197,2864171,3801229,2735793,1065436,1560668,1297461,263207,115267,115267,20113,34655,4
cc-5.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_256_4800.txt,0.191701,20700644,107983795,4817052,3357112,1459940,1579249,578979,1000270,1118917,14075,1104842,0,0,0,0,4
482.sphinx3-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_2400.txt,0.862328,84756213,98287623,10746723,9476505,1270218,1390803,293167,1097636,1765567,525962,1239605,814807,814757,462726,62891,9
bfs-10.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_9600.txt,0.342772,61219343,178601017,13912281,11077557,2834724,2984619,1977839,1006780,1873534,619454,1254080,794782,789735,548534,165317,2
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_1200.txt,0.35817,98033976,273707832,23887823,21023656,2864167,3801224,2735924,1065300,1586667,476956,1109711,141582,141582,6313,111485,12
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_8192_600.txt,0.364225,54612142,149940529,19022402,17678915,1343487,1914936,751981,1162955,1654747,1083663,571084,0,0,0,0,42
623.xalancbmk-s1.trace.xz-hashed_perceptron-no-no-no-no-lru-1core_1024_4800.txt,0.559597,52596276,93989560,7275967,6275436,1000531,1000973,671,1000302,1000729,485,1000244,0,0,0,0,4
450.soplex-s0.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_512_150.txt,0.0709741,29478984,415348601,6957320,5231086,1726234,2555051,1252553,1302498,2133376,292929,1840447,499760,499432,112798,98633,193
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_8192_300.txt,0.328175,54612142,166411834,18966262,17622779,1343483,1915436,752464,1162972,1992807,1210894,781913,401844,401844,63054,131347,90
cc-5.trace.gz-hashed_perceptron-no-no-no-pathfinder-lru-1core_2048_1200.txt,0.271509,20700645,76242857,4766646,3306689,1459957,1579266,578985,1000281,1232008,769863,462145,114671,113601,80674,14294,16
471.omnetpp-s1.trace.gz-hashed_perceptron-no-no-no-no-lru-1core_4096_2400.txt,0.339097,54612142,161051917,18854185,17510699,1343486,1914962,751956,1163006,1654862,877834,777028,0,0,0,0,11
473.astar-s1.trace.gz-hashed_perceptron-no-no-no-from_file-lru-1core_512_9600.txt,0.359508,98033976,272689265,23888040,21023872,2864168,3801225,2735919,1065306,1560657,476847,1083810,115411,115411,5811,87275,1
